merge_a,merge_b,analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_groups,median,n_positive,n_nonzero,p_wilcoxon,p_sign,q_wilcoxon
anm106211,anm106213,post_only,10,,0,20,0.00923252956546945,11,20,0.7561664581298828,0.8238029479980469,0.9001981644403367
anm106211,anm106213,post_only,10,,20,20,-0.0008697940638600497,10,20,0.7011814117431641,1.0,0.9001981644403367
anm106211,anm106213,post_only,10,,30,19,-0.005903262051202,9,19,0.9843215942382812,1.0,0.9843215942382812
anm106211,anm106213,post_only,10,,50,19,-0.01565845816163545,8,19,0.7982521057128906,0.6476058959960938,0.9071046655828302
anm106211,anm106213,post_only,10,,100,19,-0.0252473830990548,7,19,0.9217147827148438,0.359283447265625,0.9601195653279623
anm106211,anm106213,post_only,10,,250,3,-0.0928174314796179,0,3,,,
anm106211,anm106213,post_only,20,,0,20,0.04537778790958793,12,20,0.24548721313476562,0.5034446716308594,0.5507171154022217
anm106211,anm106213,post_only,20,,20,20,0.037401021865902155,12,20,0.17685317993164062,0.5034446716308594,0.5507171154022217
anm106211,anm106213,post_only,20,,30,19,0.05859437746290575,11,19,0.168792724609375,0.6476058959960938,0.5507171154022217
anm106211,anm106213,post_only,20,,50,19,0.038010197878541,13,19,0.09551239013671875,0.1670684814453125,0.47756195068359375
anm106211,anm106213,post_only,20,,100,19,0.0049163298784193,11,19,0.3524589538574219,0.6476058959960938,0.5507171154022217
anm106211,anm106213,post_only,20,,250,3,-0.0956687218878489,0,3,,,
anm106211,anm106213,post_only,30,,0,19,0.0238048628150489,13,19,0.09551239013671875,0.1670684814453125,0.47756195068359375
anm106211,anm106213,post_only,30,,20,19,0.0303197752713522,12,19,0.09551239013671875,0.359283447265625,0.47756195068359375
anm106211,anm106213,post_only,30,,30,19,0.030446515387166,13,19,0.06628799438476562,0.1670684814453125,0.47756195068359375
anm106211,anm106213,post_only,30,,50,19,0.0541836004423411,12,19,0.09551239013671875,0.359283447265625,0.47756195068359375
anm106211,anm106213,post_only,30,,100,19,-0.0183424481425196,9,19,0.7380905151367188,1.0,0.9001981644403367
anm106211,anm106213,post_only,30,,250,3,-0.1217673959799138,0,3,,,
anm106211,anm106213,post_only,40,,0,19,0.0044194482975804,12,19,0.24125289916992188,0.359283447265625,0.5507171154022217
anm106211,anm106213,post_only,40,,20,19,0.0065654097357755,11,19,0.4180412292480469,0.6476058959960938,0.614766513600069
anm106211,anm106213,post_only,40,,30,19,0.0146234266598146,12,19,0.3524589538574219,0.359283447265625,0.5507171154022217
anm106211,anm106213,post_only,40,,50,19,0.0121136245138765,11,19,0.2753410339355469,0.6476058959960938,0.5507171154022217
anm106211,anm106213,post_only,40,,100,18,-0.036997285328961904,6,18,0.5798416137695312,0.237884521484375,0.8053355746799045
anm106211,anm106213,post_only,40,,250,3,-0.097029412356623,0,3,,,
anm106211,anm106213,post_only,50,,0,19,0.0180504917592215,10,19,0.3320655822753906,1.0,0.5507171154022217
anm106211,anm106213,post_only,50,,20,19,0.0127672274651798,10,19,0.2753410339355469,1.0,0.5507171154022217
anm106211,anm106213,post_only,50,,30,19,0.0031900774640891,10,19,0.3320655822753906,1.0,0.5507171154022217
anm106211,anm106213,post_only,50,,50,19,-0.0018827122806315,9,19,0.8905677795410156,1.0,0.9601195653279623
anm106211,anm106213,post_only,50,,100,18,-0.03178933160144685,6,18,0.30379486083984375,0.237884521484375,0.5507171154022217
anm106211,anm106213,post_only,50,,250,2,-0.1063903969479221,0,2,,,
anm106211,anm106213,baseline_subtracted_rate,50,10.0,0,19,0.0861895426940219,13,19,0.01082611083984375,0.1670684814453125,0.02460479736328125
anm106211,anm106213,baseline_subtracted_rate,50,10.0,20,19,0.0573534456858365,14,19,0.0180816650390625,0.063568115234375,0.0301361083984375
anm106211,anm106213,baseline_subtracted_rate,50,10.0,30,19,0.0618128222636151,14,19,0.0180816650390625,0.063568115234375,0.0301361083984375
anm106211,anm106213,baseline_subtracted_rate,50,10.0,50,19,0.0161968290407778,12,19,0.48996734619140625,0.359283447265625,0.5832944597516742
anm106211,anm106213,baseline_subtracted_rate,50,10.0,100,18,-0.02178452974123865,7,18,0.39273834228515625,0.480682373046875,0.4909229278564453
anm106211,anm106213,baseline_subtracted_rate,50,10.0,250,2,-0.05142430343574234,0,2,,,
anm106211,anm106213,baseline_subtracted_rate,50,20.0,0,19,0.1090429246720323,14,19,0.007144927978515625,0.063568115234375,0.02460479736328125
anm106211,anm106213,baseline_subtracted_rate,50,20.0,20,19,0.1101606091879167,14,19,0.00823211669921875,0.063568115234375,0.02460479736328125
anm106211,anm106213,baseline_subtracted_rate,50,20.0,30,19,0.059871434536086246,14,19,0.0180816650390625,0.063568115234375,0.0301361083984375
anm106211,anm106213,baseline_subtracted_rate,50,20.0,50,19,0.0252221855598508,13,19,0.25792694091796875,0.1670684814453125,0.37930432487936583
anm106211,anm106213,baseline_subtracted_rate,50,20.0,100,18,-0.02191943399520165,8,18,0.7018814086914062,0.8145294189453125,0.7311264673868815
anm106211,anm106213,baseline_subtracted_rate,50,20.0,250,2,-0.0672924713718695,0,2,,,
anm106211,anm106213,baseline_subtracted_rate,50,30.0,0,19,0.1596969895746452,15,19,0.003917694091796875,0.0192108154296875,0.02460479736328125
anm106211,anm106213,baseline_subtracted_rate,50,30.0,20,19,0.1157172944323541,14,19,0.00945281982421875,0.063568115234375,0.02460479736328125
anm106211,anm106213,baseline_subtracted_rate,50,30.0,30,19,0.1218635040870457,14,19,0.01082611083984375,0.063568115234375,0.02460479736328125
anm106211,anm106213,baseline_subtracted_rate,50,30.0,50,19,0.0158847815830023,11,19,0.37359619140625,0.6476058959960938,0.4909229278564453
anm106211,anm106213,baseline_subtracted_rate,50,30.0,100,18,-0.0209416505104604,8,18,0.6396942138671875,0.8145294189453125,0.7269252430308949
anm106211,anm106213,baseline_subtracted_rate,50,30.0,250,2,-0.09375053134909314,0,2,,,
anm106211,anm106213,baseline_subtracted_rate,50,40.0,0,19,0.1243023096164022,15,19,0.005329132080078125,0.0192108154296875,0.02460479736328125
anm106211,anm106213,baseline_subtracted_rate,50,40.0,20,19,0.1188308076939495,13,19,0.01082611083984375,0.1670684814453125,0.02460479736328125
anm106211,anm106213,baseline_subtracted_rate,50,40.0,30,19,0.1472467369737671,13,19,0.014068603515625,0.1670684814453125,0.029309590657552082
anm106211,anm106213,baseline_subtracted_rate,50,40.0,50,19,0.0167439512417854,10,19,0.2753410339355469,1.0,0.38241810268825954
anm106211,anm106213,baseline_subtracted_rate,50,40.0,100,18,-0.0155266369042942,8,18,0.7018814086914062,0.8145294189453125,0.7311264673868815
anm106211,anm106213,baseline_subtracted_rate,50,40.0,250,2,-0.11625109158556345,0,2,,,
anm106211,anm106213,baseline_subtracted_rate,50,50.0,0,19,0.1247318855808731,15,19,0.003917694091796875,0.0192108154296875,0.02460479736328125
anm106211,anm106213,baseline_subtracted_rate,50,50.0,20,19,0.1142221059854526,13,19,0.01082611083984375,0.1670684814453125,0.02460479736328125
